inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
7984511682,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/Test01.rtf","rtf",65534,65534,377,59,48,1,"0100770",1675980179,1675980179,1675980180,-1,0
7982040469,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/LeifsTest4.xlsx","xlsx",65534,65534,131072,59,816,1,"0100770",1675467677,1675467677,1675467694,-1,0
7993627783,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/LeifsTest5.xlsx","xlsx",65534,65534,131072,59,816,1,"0100770",1675468402,1675468402,1675468538,-1,0
7980498947,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/Records for UID.docx","docx",65534,65534,67033,59,480,1,"0100770",1668178097,1668178097,1675468716,-1,0
7984413176,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/LeifsTest.xlsx","xlsx",65534,65534,131072,59,816,1,"0100770",1675466921,1675466921,1675467022,-1,0
7993627770,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/~$LeifsTest4.xlsx","xlsx",65534,65534,165,59,48,1,"0100770",1675467677,1675467677,1675467677,-1,0
7982536187,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/LeifsTest_test t.xlsx","xlsx",65534,65534,131072,59,816,1,"0100770",1675466921,1675466921,1675467488,-1,0
7988390233,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/LeifsTest3.xlsx","xlsx",65534,65534,8738,59,144,1,"0100770",1675467157,1675467157,1675467165,-1,0
7979568294,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/~$LeifsTest.xlsx","xlsx",65534,65534,165,59,48,1,"0100770",1675467927,1675467927,1675467927,-1,0
7978466379,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/LeifsTest6.xlsx","xlsx",65534,65534,8731,59,144,1,"0100770",1675468726,1675468726,1675468727,-1,0
8001248007,7987180733,1,"/home/dsimsb/groups/RDNFTS/murrahe test/test01.xlsx","xlsx",65534,65534,131072,59,816,1,"0100770",1675978087,1675978087,1675978141,-1,0
6441313874,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/pkeyconfig-office.xrm-ms","xrm-ms",65534,65534,590523,59,1728,1,"0100770",1438236015,1438236015,1610038220,-1,0
6441313877,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/office64ww.msi","msi",65534,65534,3944448,59,8784,1,"0100770",1438366763,1438366763,1610038220,-1,0
6433650883,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/osetup.dll","dll",65534,65534,9833128,59,21920,1,"0100770",1438350040,1438350040,1610038220,-1,0
6441313882,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/office64ww.xml","xml",65534,65534,4992,59,96,1,"0100770",1438363605,1438363605,1610038221,-1,0
6433650886,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/propsww2.cab","cab",65534,65534,249155271,59,549872,1,"0100770",1438366846,1438366846,1610038222,-1,0
6441313885,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/owow64ww.cab","cab",65534,65534,30592188,59,67680,1,"0100770",1438367966,1438367966,1610038222,-1,0
6441313886,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/config.xml","xml",65534,65534,913,59,96,1,"0100770",1432792410,1432792410,1610038223,-1,0
6433650891,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/proplusww.xml","xml",65534,65534,17108,59,192,1,"0100770",1438363199,1438363199,1610038223,-1,0
6433650894,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/proplusww.msi","msi",65534,65534,28983296,59,64064,1,"0100770",1438366622,1438366622,1610038223,-1,0
6433650897,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/setup.xml","xml",65534,65534,27782,59,240,1,"0100770",1438377427,1438377427,1610038224,-1,0
6433650900,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/propsww.cab","cab",65534,65534,323578974,59,714096,1,"0100770",1438368153,1438368153,1610038225,-1,0
6433650903,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/ose.exe","exe",65534,65534,202928,59,960,1,"0100770",1438350674,1438350674,1610038226,-1,0
6433650906,6441313873,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww/pidgenx.dll","dll",65534,65534,1274456,59,3056,1,"0100770",1438228938,1438228938,1610038226,-1,0
6441313873,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proplus.ww","",65534,65534,394,59,64,2,"0040770",1610038226,1610038226,1610038234,13,648206007
6433650960,6433650959,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/publisher.en-us/publr.cab","cab",65534,65534,3561647,59,8032,1,"0100770",1438367569,1438367569,1610038232,-1,0
6433650963,6433650959,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/publisher.en-us/publishermui.xml","xml",65534,65534,1662,59,96,1,"0100770",1438362504,1438362504,1610038232,-1,0
6433650966,6433650959,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/publisher.en-us/publishermui.msi","msi",65534,65534,2408448,59,5776,1,"0100770",1438366618,1438366618,1610038233,-1,0
6433650969,6433650959,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/publisher.en-us/setup.xml","xml",65534,65534,1795,59,96,1,"0100770",1438377429,1438377429,1610038233,-1,0
6433650959,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/publisher.en-us","",65534,65534,122,59,64,2,"0040770",1610038233,1610038233,1610038247,4,5973552
6433650519,6433650518,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes/windows6.1-kb2999226-x64.msu","msu",65534,65534,1026422,59,3088,1,"0100770",1437718641,1437718641,1610038182,-1,0
6441313671,6433650518,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes/windows8-rt-kb2999226-x86.msu","msu",65534,65534,615304,59,1776,1,"0100770",1437718641,1437718641,1610038182,-1,0
6433650522,6433650518,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes/windows8.1-kb2999226-x64.msu","msu",65534,65534,994589,59,2512,1,"0100770",1437718641,1437718641,1610038183,-1,0
6441313674,6433650518,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes/windows8-rt-kb2999226-x64.msu","msu",65534,65534,1347630,59,3200,1,"0100770",1437718641,1437718641,1610038183,-1,0
6433650525,6433650518,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes/windows6.1-kb2999226-x86.msu","msu",65534,65534,621986,59,1776,1,"0100770",1437718641,1437718641,1610038183,-1,0
6433650528,6433650518,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes/windows8.1-kb2999226-x86.msu","msu",65534,65534,595977,59,1728,1,"0100770",1437718641,1437718641,1610038183,-1,0
6433650518,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/hotfixes","",65534,65534,278,59,64,2,"0040770",1610038183,1610038183,1610038197,6,5201908
6441313925,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/updates","",65534,65534,0,59,64,2,"0040770",1554325623,1554325623,1610038234,0,0
6433650846,6441313860,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/groove.en-us/groovemui.xml","xml",65534,65534,1126,59,96,1,"0100770",1438361872,1438361872,1610038216,-1,0
6441313863,6441313860,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/groove.en-us/groovelr.cab","cab",65534,65534,872962,59,2272,1,"0100770",1438367496,1438367496,1610038217,-1,0
6433650849,6441313860,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/groove.en-us/setup.xml","xml",65534,65534,1640,59,96,1,"0100770",1438377428,1438377428,1610038217,-1,0
6441313864,6441313860,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/groove.en-us/groovemui.msi","msi",65534,65534,2379776,59,5728,1,"0100770",1438366611,1438366611,1610038217,-1,0
6441313860,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/groove.en-us","",65534,65534,119,59,64,2,"0040770",1610038217,1610038217,1610038232,4,3255504
6433651010,6433651009,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/dcf.en-us/dcfmui.xml","xml",65534,65534,1215,59,96,1,"0100770",1438361800,1438361800,1610038236,-1,0
6433651013,6433651009,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/dcf.en-us/dcfmui.msi","msi",65534,65534,2383872,59,5728,1,"0100770",1438366603,1438366603,1610038236,-1,0
6433651016,6433651009,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/dcf.en-us/setup.xml","xml",65534,65534,1808,59,96,1,"0100770",1438377427,1438377427,1610038236,-1,0
6433651019,6433651009,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/dcf.en-us/dcfmui.cab","cab",65534,65534,641590,59,1824,1,"0100770",1438367748,1438367748,1610038236,-1,0
6433651009,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/dcf.en-us","",65534,65534,111,59,64,2,"0040770",1610038236,1610038236,1610038250,4,3028485
6433650830,6433650829,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/access.en-us/accessmuiset.msi","msi",65534,65534,1060864,59,2640,1,"0100770",1438366595,1438366595,1610038215,-1,0
6441313856,6433650829,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/access.en-us/setup.xml","xml",65534,65534,2584,59,96,1,"0100770",1438377427,1438377427,1610038215,-1,0
6433650833,6433650829,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/access.en-us/accessmuiset.xml","xml",65534,65534,1032,59,96,1,"0100770",1438361797,1438361797,1610038215,-1,0
6433650829,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/access.en-us","",65534,65534,125,59,64,3,"0040770",1610038215,1610038215,1610038229,4,1064599
6441313911,6441313910,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/excel.en-us/excelmui.xml","xml",65534,65534,1780,59,96,1,"0100770",1438361836,1438361836,1610038230,-1,0
6441313912,6441313910,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/excel.en-us/excelmui.msi","msi",65534,65534,2387968,59,5744,1,"0100770",1438366603,1438366603,1610038231,-1,0
6433650945,6441313910,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/excel.en-us/setup.xml","xml",65534,65534,2482,59,96,1,"0100770",1438377427,1438377427,1610038231,-1,0
6433650948,6441313910,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/excel.en-us/excellr.cab","cab",65534,65534,5769566,59,12864,1,"0100770",1438367748,1438367748,1610038231,-1,0
6441313910,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/excel.en-us","",65534,65534,116,59,64,2,"0040770",1610038231,1610038231,1610038245,4,8161796
6433650920,6433650919,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/catalog/files.cat","cat",65534,65534,93544,59,624,1,"0100770",1438366603,1438366603,1610038227,-1,0
6433650919,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/catalog","",65534,65534,27,59,64,2,"0040770",1610038227,1610038227,1610038242,1,93544
6441313890,6433650923,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proofing.en-us/proofing.xml","xml",65534,65534,1024,59,96,1,"0100770",1438362456,1438362456,1610038227,-1,0
6433650926,6433650923,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proofing.en-us/proofing.msi","msi",65534,65534,1060864,59,2640,1,"0100770",1438366624,1438366624,1610038228,-1,0
6441313891,6433650923,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proofing.en-us/setup.xml","xml",65534,65534,6067,59,96,1,"0100770",1438377428,1438377428,1610038228,-1,0
6433650923,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/proofing.en-us","",65534,65534,165,59,64,5,"0040770",1610038229,1610038229,1610038242,6,1068198
6433650910,6433650909,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/lync.en-us/lyncmui.cab","cab",65534,65534,2608606,59,6176,1,"0100770",1438368215,1438368215,1610038226,-1,0
6433650913,6433650909,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/lync.en-us/lyncmui.xml","xml",65534,65534,1227,59,96,1,"0100770",1438361950,1438361950,1610038227,-1,0
6441313889,6433650909,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/lync.en-us/setup.xml","xml",65534,65534,1690,59,96,1,"0100770",1438377428,1438377428,1610038227,-1,0
6433650916,6433650909,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/lync.en-us/lyncmui.msi","msi",65534,65534,2387968,59,6384,1,"0100770",1438366610,1438366610,1610038227,-1,0
6433650909,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/lync.en-us","",65534,65534,114,59,64,2,"0040770",1610038227,1610038227,1610038241,4,4999491
6433650853,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/osetupui.dll","dll",65534,65534,207552,59,976,1,"0100770",1438350037,1438350037,1610038217,-1,0
6433650856,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/offsetlr.cab","cab",65534,65534,15708,59,144,1,"0100770",1438366790,1438366790,1610038217,-1,0
6433650859,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/shellui.mst","mst",65534,65534,10752,59,144,1,"0100770",1438357707,1438357707,1610038218,-1,0
6441313869,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemuiset.xml","xml",65534,65534,1032,59,96,1,"0100770",1438362050,1438362050,1610038218,-1,0
6433650862,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemui.xml","xml",65534,65534,5275,59,96,1,"0100770",1438363513,1438363513,1610038218,-1,0
6433650865,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemui.msi","msi",65534,65534,4038656,59,10912,1,"0100770",1438366762,1438366762,1610038218,-1,0
6433650868,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemuiset.msi","msi",65534,65534,1060864,59,2640,1,"0100770",1438366768,1438366768,1610038218,-1,0
6433650871,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/branding.xml","xml",65534,65534,336313,59,1232,1,"0100770",1438229218,1438229218,1610038219,-1,0
6433650874,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officelr.cab","cab",65534,65534,11706866,59,30704,1,"0100770",1438367964,1438367964,1610038219,-1,0
6433650877,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/setup.chm","chm",65534,65534,82790,59,576,1,"0100770",1434009913,1434009913,1610038219,-1,0
6433650880,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/setup.xml","xml",65534,65534,8483,59,144,1,"0100770",1438377428,1438377428,1610038219,-1,0
6441313872,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/pss10r.chm","chm",65534,65534,14598,59,144,1,"0100770",1432792342,1432792342,1610038219,-1,0
6433650852,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us","",65534,65534,361,59,64,2,"0040770",1610038219,1610038219,1610038232,12,17488889
6441313732,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/access16.opal","opal",65534,65534,130816,59,816,1,"0100770",1438236823,1438236823,1610038195,-1,0
6433650634,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/office16.opal","opal",65534,65534,1029102,59,2576,1,"0100770",1438236825,1438236825,1610038195,-1,0
6433650637,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/pub16.opal","opal",65534,65534,58060,59,432,1,"0100770",1438236828,1438236828,1610038195,-1,0
6433650640,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/proj16.opal","opal",65534,65534,232076,59,1024,1,"0100770",1438236828,1438236828,1610038196,-1,0
6433650643,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/outlk16.opal","opal",65534,65534,676050,59,1888,1,"0100770",1438236828,1438236828,1610038196,-1,0
6433650646,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/onent16.opal","opal",65534,65534,102778,59,672,1,"0100770",1438236825,1438236825,1610038196,-1,0
6433650649,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/ppt16.opal","opal",65534,65534,207016,59,976,1,"0100770",1438236828,1438236828,1610038196,-1,0
6433650652,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/excel16.opal","opal",65534,65534,260292,59,1072,1,"0100770",1438236823,1438236823,1610038196,-1,0
6433650653,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/spd16.opal","opal",65534,65534,18858,59,192,1,"0100770",1438236828,1438236828,1610038197,-1,0
6441313737,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/visio16.opal","opal",65534,65534,144198,59,848,1,"0100770",1438236828,1438236828,1610038197,-1,0
6441313740,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/lync16.opal","opal",65534,65534,26088,59,240,1,"0100770",1438236823,1438236823,1610038197,-1,0
6433650656,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/octres.dll","dll",65534,65534,429736,59,1408,1,"0100770",1438349898,1438349898,1610038197,-1,0
6441313741,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/word16.opal","opal",65534,65534,329626,59,1216,1,"0100770",1438236828,1438236828,1610038197,-1,0
6433650631,6433650529,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru","",65534,65534,381,59,64,2,"0040770",1610038197,1610038197,1610038210,13,3644696
6433650994,6433650993,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office64.en-us/office64muiset.msi","msi",65534,65534,1060864,59,2640,1,"0100770",1438366776,1438366776,1610038235,-1,0
6433650997,6433650993,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office64.en-us/owow64lr.cab","cab",65534,65534,2060457,59,4592,1,"0100770",1438367962,1438367962,1610038235,-1,0
6433651000,6433650993,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office64.en-us/office64mui.msi","msi",65534,65534,1224704,59,2960,1,"0100770",1438366777,1438366777,1610038235,-1,0
6433651003,6433650993,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office64.en-us/office64mui.xml","xml",65534,65534,1910,59,96,1,"0100770",1438361991,1438361991,1610038235,-1,0
